"task_id","task_name","sample_source","comment_type","comment_content","current_quality_score","current_quality_level","current_emotion_score","current_emotion_type","issue_type","replay_outcome","platform_review","v3_target_quality_band","v3_target_emotion_type","prompt_rule_hint"
"bnx2KtM1ia","评论打分测试02","latest","书评","书名《快穿之皇后强制好孕》
作者: 大怡吃小怡
标签【女主快穿，脑洞，皇后】
推荐指数⭐⭐⭐

女主瓜晚意  绑定系统: 小晚意   系统任务:  完成生子以及攒够足够的能量，否则会在小世界强制生！直到吐籽为止！

一共描写了个小世界
①绝美可怜王妃X无嗣摄政王•沈寂
②清冷佛子重生帝X热烈如火女将军

💦💦💦每次看到女主名字都有点出戏

一刷 2026.6.16","45","中","55","中性","书评元数据罗列","expected_downscore","书籍信息罗列不能替代阅读评价，缺少作品判断和推荐理由","30-49","中性","书评高分需要作品整体判断、具体优缺点和阅读价值"
"bnx2KtM1ia","评论打分测试02","latest","书评","书名《快穿:变美后，我赢麻了》
作者: 萨琳娜
标签【快穿，基建，轻松，逆袭，女皇】
推荐指数🌟🌟🌟🌟

女主 顾倾城•大长公主       绑定系统   祸水      系统任务:  进入到那些由话本子衍生出来的世界里，帮许愿人完成夙愿

一共描写了23个小世界
①重生大嫂的绝美小姑子［古代］
②纨绔世子的假千金夫人［古代］
③恶毒继母化身名媛［民国］
④男主的菟丝花极品亲娘［架空古代］
⑤孤身带娃的九级大拿［年代］
⑥犯蠢小白花对照组变女神［古早霸总文］
⑦女穿男•软饭皇子［古代］
⑧暴力呆萌千年女尸［玄学修炼］
⑨开局被噶的末世圣母［末世空间种田文］
⑩敏感灰姑娘和她的纯爱巨豪老公［豪门］
⑪精通多种外语的末代公主［架空民国］
……
♥♥♥前面还行，主要是回归本世界建设构思不错
💦💦💦后面的没看

一刷 2026.6.16 阅至Ch.651","45","中","75","中性","书评元数据罗列","expected_downscore","书籍信息罗列不能替代阅读评价，缺少作品判断和推荐理由","30-49","中性","书评高分需要作品整体判断、具体优缺点和阅读价值"
"bnx2KtM1ia","评论打分测试02","latest","章评","打卡","10","差","50","中性","章评占楼灌水","expected_downscore","占楼、打卡、脚印类内容不讨论章节，不提供社区阅读价值","0-29","中性","章评必须围绕章节剧情、角色、节奏或伏笔展开"
"bnx2KtM1ia","评论打分测试02","latest","章评","有沙发🛋️🛋️🛋️🛋️🛋️
在来个板凳🪑🪑🪑🪑🪑
最后留下一串脚印👣👣👣👣👣","15","差","50","中性","章评占楼灌水","expected_downscore","占楼、打卡、脚印类内容不讨论章节，不提供社区阅读价值","0-29","中性","章评必须围绕章节剧情、角色、节奏或伏笔展开"
"bnx2KtM1ia","评论打分测试02","latest","章评","👣","10","差","50","中性","章评占楼灌水","expected_downscore","占楼、打卡、脚印类内容不讨论章节，不提供社区阅读价值","0-29","中性","章评必须围绕章节剧情、角色、节奏或伏笔展开"
"bnx2KtM1ia","评论打分测试02","latest","段评","哈哈 再看一次","72","中","82","正向","段评短泛评高分","expected_downscore","短泛评可以表达情绪，但缺少明确对象和信息增量，不应进入高质量","30-49 或 50-69","正向","段评短文本高分必须有明确对象、判断或高信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","？？？","35","中","50","中性","优质短评误杀风险","guardrail_keep_quality","短评若包含具体疑问、判断或修辞张力，应保留中高分空间","70-79","中性","段评不能按长度一刀切，关键看对象清楚和信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","就这格局，能成什么大事？","68","中","15","负向","优质短评误杀风险","guardrail_keep_quality","短评若包含具体疑问、判断或修辞张力，应保留中高分空间","70-79","负向","段评不能按长度一刀切，关键看对象清楚和信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","不是姓施吗","55","中","55","中性","优质短评误杀风险","guardrail_keep_quality","短评若包含具体疑问、判断或修辞张力，应保留中高分空间","70-79","中性","段评不能按长度一刀切，关键看对象清楚和信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","挖矿工？","55","中","50","中性","优质短评误杀风险","guardrail_keep_quality","短评若包含具体疑问、判断或修辞张力，应保留中高分空间","70-79","中性","段评不能按长度一刀切，关键看对象清楚和信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","哈哈！终于！","75","中","88","正向","段评短泛评高分","expected_downscore","短泛评可以表达情绪，但缺少明确对象和信息增量，不应进入高质量","30-49 或 50-69","正向","段评短文本高分必须有明确对象、判断或高信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","哈哈好可爱","72","中","88","正向","段评短泛评高分","expected_downscore","短泛评可以表达情绪，但缺少明确对象和信息增量，不应进入高质量","30-49 或 50-69","正向","段评短文本高分必须有明确对象、判断或高信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","外面那么多地方，不能派他去吗？","55","中","45","中性","优质短评误杀风险","guardrail_keep_quality","短评若包含具体疑问、判断或修辞张力，应保留中高分空间","70-79","中性","段评不能按长度一刀切，关键看对象清楚和信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","均？匀？咋个不说清楚？","45","中","35","中性","优质短评误杀风险","guardrail_keep_quality","短评若包含具体疑问、判断或修辞张力，应保留中高分空间","70-79","中性","段评不能按长度一刀切，关键看对象清楚和信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","三匹马够了吗？","55","中","55","中性","优质短评误杀风险","guardrail_keep_quality","短评若包含具体疑问、判断或修辞张力，应保留中高分空间","70-79","中性","段评不能按长度一刀切，关键看对象清楚和信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","这不是那本毒士的情节吗","55","中","50","中性","优质短评误杀风险","guardrail_keep_quality","短评若包含具体疑问、判断或修辞张力，应保留中高分空间","70-79","中性","段评不能按长度一刀切，关键看对象清楚和信息密度"
"bnx2KtM1ia","评论打分测试02","latest","段评","就这个爽 前面几个还有人在评论，骂我们女主baby 我真的都快被气笑了 终于要有反转了，让前面那些人遭受别人反击，默默哭去吧哈哈哈","88","好","95","正向","负向吐槽情绪偏高","expected_emotion_fix","反问、粗口、吐槽和质疑表达的是负向或中性偏负，不应因互动感判正向","50-79 视信息量","负向 或 中性","情绪分只判断表达情绪，不受互动强度加成"
